sample_a,sample_b,pair_type,similarity
杨戴/伤逝__chunk001,杨戴/离婚__chunk003,same,0.846349
杨戴/伤逝__chunk001,杨戴/肥皂__chunk001,same,0.828104
杨戴/伤逝__chunk001,杨戴/肥皂__chunk002,same,0.822752
杨戴/伤逝__chunk001,杨戴/肥皂__chunk003,same,0.795085
杨戴/伤逝__chunk001,杨戴/肥皂__chunk004,same,0.831715
杨戴/伤逝__chunk001,杨戴/药__chunk001,same,0.798957
杨戴/伤逝__chunk001,杨戴/药__chunk002,same,0.763561
杨戴/伤逝__chunk001,杨戴/药__chunk003,same,0.825651
杨戴/伤逝__chunk001,杨戴/铸剑__chunk001,same,0.806798
杨戴/伤逝__chunk001,杨戴/铸剑__chunk002,same,0.793345
杨戴/伤逝__chunk001,杨戴/铸剑__chunk003,same,0.791222
杨戴/伤逝__chunk001,杨戴/铸剑__chunk004,same,0.798803
杨戴/伤逝__chunk001,杨戴/铸剑__chunk005,same,0.801887
杨戴/伤逝__chunk001,杨戴/铸剑__chunk006,same,0.777849
杨戴/伤逝__chunk001,杨戴/铸剑__chunk007,same,0.809597
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk001,same,0.813324
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk002,same,0.776469
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk003,same,0.787862
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk004,same,0.789854
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk005,same,0.752580
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk006,same,0.813388
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk007,same,0.784824
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk008,same,0.768200
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk009,same,0.793704
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk010,same,0.818850
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk011,same,0.786661
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk012,same,0.816118
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk013,same,0.835178
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk014,same,0.748954
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk015,same,0.778572
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk016,same,0.816460
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk017,same,0.809559
杨戴/伤逝__chunk001,杨戴/风波__chunk001,same,0.854458
杨戴/伤逝__chunk001,杨戴/风波__chunk002,same,0.835649
杨戴/伤逝__chunk001,杨戴/风波__chunk003,same,0.842037
杨戴/伤逝__chunk001,蓝/伤逝__chunk001,cross,0.900298
杨戴/伤逝__chunk001,蓝/伤逝__chunk002,cross,0.874627
杨戴/伤逝__chunk001,蓝/伤逝__chunk003,cross,0.872618
杨戴/伤逝__chunk001,蓝/伤逝__chunk004,cross,0.872541
杨戴/伤逝__chunk001,蓝/伤逝__chunk005,cross,0.861891
杨戴/伤逝__chunk001,蓝/伤逝__chunk006,cross,0.860399
杨戴/伤逝__chunk001,蓝/伤逝__chunk007,cross,0.863403
杨戴/伤逝__chunk001,蓝/在酒楼上__chunk001,cross,0.865891
杨戴/伤逝__chunk001,蓝/在酒楼上__chunk002,cross,0.874631
杨戴/伤逝__chunk001,蓝/在酒楼上__chunk003,cross,0.857294
杨戴/伤逝__chunk001,蓝/在酒楼上__chunk004,cross,0.823016
杨戴/伤逝__chunk001,蓝/奔月__chunk001,cross,0.832579
杨戴/伤逝__chunk001,蓝/奔月__chunk002,cross,0.827589
杨戴/伤逝__chunk001,蓝/奔月__chunk003,cross,0.772705
杨戴/伤逝__chunk001,蓝/奔月__chunk004,cross,0.790234
杨戴/伤逝__chunk001,蓝/孤独者__chunk001,cross,0.816528
杨戴/伤逝__chunk001,蓝/孤独者__chunk002,cross,0.829880
杨戴/伤逝__chunk001,蓝/孤独者__chunk003,cross,0.812281
杨戴/伤逝__chunk001,蓝/孤独者__chunk004,cross,0.841125
杨戴/伤逝__chunk001,蓝/孤独者__chunk005,cross,0.862363
杨戴/伤逝__chunk001,蓝/孤独者__chunk006,cross,0.826984
杨戴/伤逝__chunk001,蓝/孤独者__chunk007,cross,0.850437
杨戴/伤逝__chunk001,蓝/孤独者__chunk008,cross,0.780227
杨戴/伤逝__chunk001,蓝/幸福的家庭__chunk001,cross,0.790200
杨戴/伤逝__chunk001,蓝/幸福的家庭__chunk002,cross,0.831770
杨戴/伤逝__chunk001,蓝/幸福的家庭__chunk003,cross,0.757655
杨戴/伤逝__chunk001,蓝/故乡__chunk001,cross,0.880830
杨戴/伤逝__chunk001,蓝/故乡__chunk002,cross,0.840206
杨戴/伤逝__chunk001,蓝/故乡__chunk003,cross,0.808360
杨戴/伤逝__chunk001,蓝/明天__chunk001,cross,0.818085
杨戴/伤逝__chunk001,蓝/明天__chunk002,cross,0.843942
杨戴/伤逝__chunk001,蓝/狂人日记__chunk001,cross,0.860365
杨戴/伤逝__chunk001,蓝/狂人日记__chunk002,cross,0.800598
杨戴/伤逝__chunk001,蓝/狂人日记__chunk003,cross,0.801808
杨戴/伤逝__chunk001,蓝/社戏__chunk001,cross,0.866570
杨戴/伤逝__chunk001,蓝/社戏__chunk002,cross,0.869593
杨戴/伤逝__chunk001,蓝/社戏__chunk003,cross,0.861181
杨戴/伤逝__chunk001,蓝/社戏__chunk004,cross,0.825286
杨戴/伤逝__chunk001,蓝/祝福__chunk001,cross,0.847209
杨戴/伤逝__chunk001,蓝/祝福__chunk002,cross,0.846425
杨戴/伤逝__chunk001,蓝/祝福__chunk003,cross,0.842225
杨戴/伤逝__chunk001,蓝/祝福__chunk004,cross,0.830377
杨戴/伤逝__chunk001,蓝/祝福__chunk005,cross,0.810572
杨戴/伤逝__chunk001,蓝/祝福__chunk006,cross,0.816528
杨戴/伤逝__chunk001,蓝/祝福__chunk007,cross,0.806939
杨戴/伤逝__chunk001,蓝/离婚__chunk001,cross,0.820854
杨戴/伤逝__chunk001,蓝/离婚__chunk002,cross,0.820241
杨戴/伤逝__chunk001,蓝/离婚__chunk003,cross,0.821175
杨戴/伤逝__chunk001,蓝/肥皂__chunk001,cross,0.833167
杨戴/伤逝__chunk001,蓝/肥皂__chunk002,cross,0.810375
杨戴/伤逝__chunk001,蓝/肥皂__chunk003,cross,0.808523
杨戴/伤逝__chunk001,蓝/肥皂__chunk004,cross,0.813768
杨戴/伤逝__chunk001,蓝/药__chunk001,cross,0.794180
杨戴/伤逝__chunk001,蓝/药__chunk002,cross,0.751601
杨戴/伤逝__chunk001,蓝/药__chunk003,cross,0.823959
杨戴/伤逝__chunk001,蓝/铸剑__chunk001,cross,0.788505
杨戴/伤逝__chunk001,蓝/铸剑__chunk002,cross,0.814281
杨戴/伤逝__chunk001,蓝/铸剑__chunk003,cross,0.785811
杨戴/伤逝__chunk001,蓝/铸剑__chunk004,cross,0.797011
杨戴/伤逝__chunk001,蓝/铸剑__chunk005,cross,0.800699
杨戴/伤逝__chunk001,蓝/铸剑__chunk006,cross,0.783847
杨戴/伤逝__chunk001,蓝/铸剑__chunk007,cross,0.801161
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk001,cross,0.795939
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk002,cross,0.789757
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk003,cross,0.748797
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk004,cross,0.755947
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk005,cross,0.735221
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk006,cross,0.788479
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk007,cross,0.775907
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk008,cross,0.796130
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk009,cross,0.763089
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk010,cross,0.779230
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk011,cross,0.796241
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk012,cross,0.802737
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk013,cross,0.821581
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk014,cross,0.803876
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk015,cross,0.786707
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk016,cross,0.792265
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk017,cross,0.762006
杨戴/伤逝__chunk001,蓝/风波__chunk001,cross,0.805095
杨戴/伤逝__chunk001,蓝/风波__chunk002,cross,0.825596
杨戴/伤逝__chunk001,蓝/风波__chunk003,cross,0.810771
杨戴/伤逝__chunk002,杨戴/伤逝__chunk003,same,0.896239
杨戴/伤逝__chunk002,杨戴/伤逝__chunk004,same,0.921663
杨戴/伤逝__chunk002,杨戴/伤逝__chunk005,same,0.913388
杨戴/伤逝__chunk002,杨戴/伤逝__chunk006,same,0.900621
杨戴/伤逝__chunk002,杨戴/伤逝__chunk007,same,0.883807
杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk001,same,0.857887
杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk002,same,0.878767
杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk003,same,0.898103
杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk004,same,0.909633
杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk005,same,0.830886
杨戴/伤逝__chunk002,杨戴/奔月__chunk001,same,0.819251
杨戴/伤逝__chunk002,杨戴/奔月__chunk002,same,0.774009
杨戴/伤逝__chunk002,杨戴/奔月__chunk003,same,0.755025
杨戴/伤逝__chunk002,杨戴/奔月__chunk004,same,0.769538
杨戴/伤逝__chunk002,杨戴/孤独者__chunk001,same,0.818689
杨戴/伤逝__chunk002,杨戴/孤独者__chunk002,same,0.810243
杨戴/伤逝__chunk002,杨戴/孤独者__chunk003,same,0.842619
杨戴/伤逝__chunk002,杨戴/孤独者__chunk004,same,0.855552
杨戴/伤逝__chunk002,杨戴/孤独者__chunk005,same,0.883585
杨戴/伤逝__chunk002,杨戴/孤独者__chunk006,same,0.824633
杨戴/伤逝__chunk002,杨戴/孤独者__chunk007,same,0.840834
杨戴/伤逝__chunk002,杨戴/孤独者__chunk008,same,0.791664
杨戴/伤逝__chunk002,杨戴/幸福的家庭__chunk001,same,0.751749
杨戴/伤逝__chunk002,杨戴/幸福的家庭__chunk002,same,0.778977
杨戴/伤逝__chunk002,杨戴/幸福的家庭__chunk003,same,0.766071
杨戴/伤逝__chunk002,杨戴/故乡__chunk001,same,0.848511
杨戴/伤逝__chunk002,杨戴/故乡__chunk002,same,0.867381
杨戴/伤逝__chunk002,杨戴/故乡__chunk003,same,0.827033
杨戴/伤逝__chunk002,杨戴/故乡__chunk004,same,0.857181
杨戴/伤逝__chunk002,杨戴/明天__chunk001,same,0.797285
杨戴/伤逝__chunk002,杨戴/明天__chunk002,same,0.793067
杨戴/伤逝__chunk002,杨戴/明天__chunk003,same,0.814461
杨戴/伤逝__chunk002,杨戴/狂人日记__chunk001,same,0.828911
杨戴/伤逝__chunk002,杨戴/狂人日记__chunk002,same,0.817828
杨戴/伤逝__chunk002,杨戴/狂人日记__chunk003,same,0.785190
杨戴/伤逝__chunk002,杨戴/狂人日记__chunk004,same,0.829432
杨戴/伤逝__chunk002,杨戴/社戏__chunk001,same,0.872227
杨戴/伤逝__chunk002,杨戴/社戏__chunk002,same,0.861881
杨戴/伤逝__chunk002,杨戴/社戏__chunk003,same,0.821217
杨戴/伤逝__chunk002,杨戴/社戏__chunk004,same,0.846732
杨戴/伤逝__chunk002,杨戴/祝福__chunk001,same,0.839558
杨戴/伤逝__chunk002,杨戴/祝福__chunk002,same,0.868609
杨戴/伤逝__chunk002,杨戴/祝福__chunk003,same,0.838014
杨戴/伤逝__chunk002,杨戴/祝福__chunk004,same,0.813315
杨戴/伤逝__chunk002,杨戴/祝福__chunk005,same,0.860007
杨戴/伤逝__chunk002,杨戴/祝福__chunk006,same,0.803689
杨戴/伤逝__chunk002,杨戴/祝福__chunk007,same,0.824545
杨戴/伤逝__chunk002,杨戴/离婚__chunk001,same,0.753057
杨戴/伤逝__chunk002,杨戴/离婚__chunk002,same,0.829737
杨戴/伤逝__chunk002,杨戴/离婚__chunk003,same,0.859888
杨戴/伤逝__chunk002,杨戴/肥皂__chunk001,same,0.830666
杨戴/伤逝__chunk002,杨戴/肥皂__chunk002,same,0.811210
杨戴/伤逝__chunk002,杨戴/肥皂__chunk003,same,0.772706
杨戴/伤逝__chunk002,杨戴/肥皂__chunk004,same,0.787096
杨戴/伤逝__chunk002,杨戴/药__chunk001,same,0.773327
杨戴/伤逝__chunk002,杨戴/药__chunk002,same,0.756201
杨戴/伤逝__chunk002,杨戴/药__chunk003,same,0.802207
杨戴/伤逝__chunk002,杨戴/铸剑__chunk001,same,0.772814
杨戴/伤逝__chunk002,杨戴/铸剑__chunk002,same,0.750333
杨戴/伤逝__chunk002,杨戴/铸剑__chunk003,same,0.737279
杨戴/伤逝__chunk002,杨戴/铸剑__chunk004,same,0.753042
杨戴/伤逝__chunk002,杨戴/铸剑__chunk005,same,0.778471
杨戴/伤逝__chunk002,杨戴/铸剑__chunk006,same,0.731453
杨戴/伤逝__chunk002,杨戴/铸剑__chunk007,same,0.759780
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk001,same,0.763570
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk002,same,0.746292
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk003,same,0.742475
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk004,same,0.764078
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk005,same,0.745061
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk006,same,0.775302
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk007,same,0.755890
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk008,same,0.749305
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk009,same,0.753733
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk010,same,0.774394
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk011,same,0.756275
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk012,same,0.777988
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk013,same,0.786167
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk014,same,0.713664
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk015,same,0.745603
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk016,same,0.761118
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk017,same,0.779211
杨戴/伤逝__chunk002,杨戴/风波__chunk001,same,0.820536
杨戴/伤逝__chunk002,杨戴/风波__chunk002,same,0.797695
杨戴/伤逝__chunk002,杨戴/风波__chunk003,same,0.814773
杨戴/伤逝__chunk002,蓝/伤逝__chunk001,cross,0.835799
杨戴/伤逝__chunk002,蓝/伤逝__chunk002,cross,0.920930
杨戴/伤逝__chunk002,蓝/伤逝__chunk003,cross,0.878518
杨戴/伤逝__chunk002,蓝/伤逝__chunk004,cross,0.887336
杨戴/伤逝__chunk002,蓝/伤逝__chunk005,cross,0.887132
杨戴/伤逝__chunk002,蓝/伤逝__chunk006,cross,0.872082
杨戴/伤逝__chunk002,蓝/伤逝__chunk007,cross,0.851741
杨戴/伤逝__chunk002,蓝/在酒楼上__chunk001,cross,0.853604
杨戴/伤逝__chunk002,蓝/在酒楼上__chunk002,cross,0.873687
杨戴/伤逝__chunk002,蓝/在酒楼上__chunk003,cross,0.893763
杨戴/伤逝__chunk002,蓝/在酒楼上__chunk004,cross,0.881770
杨戴/伤逝__chunk002,蓝/奔月__chunk001,cross,0.779211
杨戴/伤逝__chunk002,蓝/奔月__chunk002,cross,0.800498
杨戴/伤逝__chunk002,蓝/奔月__chunk003,cross,0.757612
杨戴/伤逝__chunk002,蓝/奔月__chunk004,cross,0.758567
杨戴/伤逝__chunk002,蓝/孤独者__chunk001,cross,0.811218
杨戴/伤逝__chunk002,蓝/孤独者__chunk002,cross,0.807462
杨戴/伤逝__chunk002,蓝/孤独者__chunk003,cross,0.838573
杨戴/伤逝__chunk002,蓝/孤独者__chunk004,cross,0.823966
杨戴/伤逝__chunk002,蓝/孤独者__chunk005,cross,0.868615
杨戴/伤逝__chunk002,蓝/孤独者__chunk006,cross,0.841646
杨戴/伤逝__chunk002,蓝/孤独者__chunk007,cross,0.810877
杨戴/伤逝__chunk002,蓝/孤独者__chunk008,cross,0.781914
杨戴/伤逝__chunk002,蓝/幸福的家庭__chunk001,cross,0.744082
杨戴/伤逝__chunk002,蓝/幸福的家庭__chunk002,cross,0.767450
杨戴/伤逝__chunk002,蓝/幸福的家庭__chunk003,cross,0.706565
杨戴/伤逝__chunk002,蓝/故乡__chunk001,cross,0.851172
杨戴/伤逝__chunk002,蓝/故乡__chunk002,cross,0.850185
杨戴/伤逝__chunk002,蓝/故乡__chunk003,cross,0.814921
杨戴/伤逝__chunk002,蓝/明天__chunk001,cross,0.805697
杨戴/伤逝__chunk002,蓝/明天__chunk002,cross,0.789213
杨戴/伤逝__chunk002,蓝/狂人日记__chunk001,cross,0.828701
杨戴/伤逝__chunk002,蓝/狂人日记__chunk002,cross,0.780667
杨戴/伤逝__chunk002,蓝/狂人日记__chunk003,cross,0.784350
杨戴/伤逝__chunk002,蓝/社戏__chunk001,cross,0.820250
杨戴/伤逝__chunk002,蓝/社戏__chunk002,cross,0.831545
杨戴/伤逝__chunk002,蓝/社戏__chunk003,cross,0.809065
杨戴/伤逝__chunk002,蓝/社戏__chunk004,cross,0.810879
杨戴/伤逝__chunk002,蓝/祝福__chunk001,cross,0.795080
杨戴/伤逝__chunk002,蓝/祝福__chunk002,cross,0.871783
杨戴/伤逝__chunk002,蓝/祝福__chunk003,cross,0.845004
杨戴/伤逝__chunk002,蓝/祝福__chunk004,cross,0.836942
杨戴/伤逝__chunk002,蓝/祝福__chunk005,cross,0.845208
杨戴/伤逝__chunk002,蓝/祝福__chunk006,cross,0.823800
杨戴/伤逝__chunk002,蓝/祝福__chunk007,cross,0.786653
杨戴/伤逝__chunk002,蓝/离婚__chunk001,cross,0.774150
杨戴/伤逝__chunk002,蓝/离婚__chunk002,cross,0.788585
杨戴/伤逝__chunk002,蓝/离婚__chunk003,cross,0.817382
杨戴/伤逝__chunk002,蓝/肥皂__chunk001,cross,0.817632
杨戴/伤逝__chunk002,蓝/肥皂__chunk002,cross,0.814983
杨戴/伤逝__chunk002,蓝/肥皂__chunk003,cross,0.762940
杨戴/伤逝__chunk002,蓝/肥皂__chunk004,cross,0.774672
杨戴/伤逝__chunk002,蓝/药__chunk001,cross,0.732366
杨戴/伤逝__chunk002,蓝/药__chunk002,cross,0.725683
杨戴/伤逝__chunk002,蓝/药__chunk003,cross,0.775678
杨戴/伤逝__chunk002,蓝/铸剑__chunk001,cross,0.762280
杨戴/伤逝__chunk002,蓝/铸剑__chunk002,cross,0.779202
杨戴/伤逝__chunk002,蓝/铸剑__chunk003,cross,0.727004
杨戴/伤逝__chunk002,蓝/铸剑__chunk004,cross,0.764006
杨戴/伤逝__chunk002,蓝/铸剑__chunk005,cross,0.743168
杨戴/伤逝__chunk002,蓝/铸剑__chunk006,cross,0.724780
杨戴/伤逝__chunk002,蓝/铸剑__chunk007,cross,0.738283
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk001,cross,0.739344
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk002,cross,0.740396
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk003,cross,0.693232
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk004,cross,0.752663
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk005,cross,0.708485
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk006,cross,0.745828
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk007,cross,0.723282
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk008,cross,0.734916
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk009,cross,0.716240
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk010,cross,0.730091
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk011,cross,0.741601
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk012,cross,0.758267
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk013,cross,0.761869
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk014,cross,0.749798
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk015,cross,0.750632
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk016,cross,0.758789
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk017,cross,0.726453
杨戴/伤逝__chunk002,蓝/风波__chunk001,cross,0.752896
杨戴/伤逝__chunk002,蓝/风波__chunk002,cross,0.789722
杨戴/伤逝__chunk002,蓝/风波__chunk003,cross,0.750987
杨戴/伤逝__chunk003,杨戴/伤逝__chunk004,same,0.891596
杨戴/伤逝__chunk003,杨戴/伤逝__chunk005,same,0.916738
杨戴/伤逝__chunk003,杨戴/伤逝__chunk006,same,0.918974
杨戴/伤逝__chunk003,杨戴/伤逝__chunk007,same,0.897806
杨戴/伤逝__chunk003,杨戴/在酒楼上__chunk001,same,0.919304
杨戴/伤逝__chunk003,杨戴/在酒楼上__chunk002,same,0.897864
杨戴/伤逝__chunk003,杨戴/在酒楼上__chunk003,same,0.884538
杨戴/伤逝__chunk003,杨戴/在酒楼上__chunk004,same,0.890597
杨戴/伤逝__chunk003,杨戴/在酒楼上__chunk005,same,0.857529
杨戴/伤逝__chunk003,杨戴/奔月__chunk001,same,0.869658
杨戴/伤逝__chunk003,杨戴/奔月__chunk002,same,0.827563
杨戴/伤逝__chunk003,杨戴/奔月__chunk003,same,0.810022
杨戴/伤逝__chunk003,杨戴/奔月__chunk004,same,0.850508
杨戴/伤逝__chunk003,杨戴/孤独者__chunk001,same,0.877895
杨戴/伤逝__chunk003,杨戴/孤独者__chunk002,same,0.861372
杨戴/伤逝__chunk003,杨戴/孤独者__chunk003,same,0.863720
杨戴/伤逝__chunk003,杨戴/孤独者__chunk004,same,0.847576
杨戴/伤逝__chunk003,杨戴/孤独者__chunk005,same,0.907868
杨戴/伤逝__chunk003,杨戴/孤独者__chunk006,same,0.819972
杨戴/伤逝__chunk003,杨戴/孤独者__chunk007,same,0.863370
杨戴/伤逝__chunk003,杨戴/孤独者__chunk008,same,0.823489
杨戴/伤逝__chunk003,杨戴/幸福的家庭__chunk001,same,0.813475
杨戴/伤逝__chunk003,杨戴/幸福的家庭__chunk002,same,0.820202
杨戴/伤逝__chunk003,杨戴/幸福的家庭__chunk003,same,0.806061
杨戴/伤逝__chunk003,杨戴/故乡__chunk001,same,0.880667
杨戴/伤逝__chunk003,杨戴/故乡__chunk002,same,0.907955
杨戴/伤逝__chunk003,杨戴/故乡__chunk003,same,0.838126
杨戴/伤逝__chunk003,杨戴/故乡__chunk004,same,0.886378
杨戴/伤逝__chunk003,杨戴/明天__chunk001,same,0.846023
杨戴/伤逝__chunk003,杨戴/明天__chunk002,same,0.827462
杨戴/伤逝__chunk003,杨戴/明天__chunk003,same,0.837428
杨戴/伤逝__chunk003,杨戴/狂人日记__chunk001,same,0.854413
杨戴/伤逝__chunk003,杨戴/狂人日记__chunk002,same,0.819038
杨戴/伤逝__chunk003,杨戴/狂人日记__chunk003,same,0.827440
杨戴/伤逝__chunk003,杨戴/狂人日记__chunk004,same,0.855954
杨戴/伤逝__chunk003,杨戴/社戏__chunk001,same,0.888415
杨戴/伤逝__chunk003,杨戴/社戏__chunk002,same,0.874214
杨戴/伤逝__chunk003,杨戴/社戏__chunk003,same,0.882232
杨戴/伤逝__chunk003,杨戴/社戏__chunk004,same,0.878470
杨戴/伤逝__chunk003,杨戴/祝福__chunk001,same,0.894379
杨戴/伤逝__chunk003,杨戴/祝福__chunk002,same,0.863991
杨戴/伤逝__chunk003,杨戴/祝福__chunk003,same,0.835149
